# VERBATIM RUNNER BOARD LINES, kept so any two readings of one suite are diffable after the fact (ceo CEO-827).
# Each line is the runner's OWN board output, unedited. A receipt that paraphrases a board cannot be compared by
# util_suite_population_diff.py, which is the gap the coo measured on the 2026-09-17 SNOBOL4 pair.
# tree	suite	measurer	verbatim line
e6f13b4b6	pas-master	hq_pascal	SUITE_BOARD family=ALL total=246 shipped=246 outside=0 m3_n=246 m3_pass=246 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=246 m4_pass=246 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=246 all_n=246 rt_md5=73e40a94e8f4 arena_kb=128 arena_mb=0
4755ec672	pascal-bench-ref	hq_pascal	SUITE_BOARD family=pascal-bench-ref total=11 all_pass=11 all_n=11 m3_pass=11 m4_pass=11 angles=wrap,iter,time
4755ec672	pas-master	hq_pascal	SUITE_BOARD family=ALL total=246 shipped=246 outside=0 m3_n=246 m3_pass=246 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=246 m4_pass=246 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=246 all_n=246 rt_md5=727fe7838aba arena_kb=128 arena_mb=0
04f8b19af	pascal-bench-ref	hq_pascal	SUITE_BOARD family=pascal-bench-ref total=11 all_pass=11 all_n=11 m3_pass=11 m4_pass=11 angles=wrap,iter,time
04f8b19af	pas-master	hq_pascal	SUITE_BOARD family=ALL total=246 shipped=246 outside=0 m3_n=246 m3_pass=246 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=246 m4_pass=246 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=246 all_n=246 rt_md5=0a54e66243c5 arena_kb=128 arena_mb=0
f6776d8c1	pascal-bench-ref	hq_pascal	SUITE_BOARD family=pascal-bench-ref total=11 all_pass=11 all_n=11 m3_pass=11 m4_pass=11 angles=wrap,iter,time
f6776d8c1	pas-master	hq_pascal	SUITE_BOARD family=ALL total=246 shipped=246 outside=0 m3_n=246 m3_pass=246 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=246 m4_pass=246 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=246 all_n=246 rt_md5=872f30ba054c arena_kb=128 arena_mb=0
42308cfae	pascal-bench-ref	hq_pascal	SUITE_BOARD family=pascal-bench-ref total=11 all_pass=11 all_n=11 m3_pass=11 m4_pass=11 angles=wrap,iter,time
42308cfae	pas-master	hq_pascal	SUITE_BOARD family=ALL total=246 shipped=246 outside=0 m3_n=246 m3_pass=246 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=246 m4_pass=246 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=246 all_n=246 rt_md5=001e1768a7a7 arena_kb=128 arena_mb=0
ca0cfcd4b	pascal-bench-ref	hq_pascal	SUITE_BOARD family=pascal-bench-ref total=11 all_pass=11 all_n=11 m3_pass=11 m4_pass=11 angles=wrap,iter,time
ca0cfcd4b	pas-master	hq_pascal	SUITE_BOARD family=ALL total=246 shipped=246 outside=0 m3_n=246 m3_pass=246 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=246 m4_pass=246 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=246 all_n=246 rt_md5=09c92bda004c arena_kb=128 arena_mb=0
a722fc6b4	pascal-bench-ref	hq_pascal	SUITE_BOARD family=pascal-bench-ref total=11 all_pass=11 all_n=11 m3_pass=11 m4_pass=11 angles=wrap,iter,time
a722fc6b4	pas-master	hq_pascal	SUITE_BOARD family=ALL total=246 shipped=246 outside=0 m3_n=246 m3_pass=246 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=246 m4_pass=246 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=246 all_n=246 rt_md5=0a2d47d78226 arena_kb=128 arena_mb=0
2441f7be7	pascal-bench-ref	hq_pascal	SUITE_BOARD family=pascal-bench-ref total=11 all_pass=11 all_n=11 m3_pass=11 m4_pass=11 angles=wrap,iter,time
2441f7be7	pas-master	hq_pascal	SUITE_BOARD family=ALL total=246 shipped=246 outside=0 m3_n=246 m3_pass=246 m3_fail=0 m3_crash=0 m3_hang=0 m3_unproven=0 m3_skip=0 m3_xfail=0 m3_xpass=0 m3_xfail_wrong=0 m3_xfail_crash=0 m3_xfail_hang=0 m3_xfail_unproven=0 m3_xfail_skip=0 m4_n=246 m4_pass=246 m4_fail=0 m4_crash=0 m4_hang=0 m4_unproven=0 m4_skip=0 m4_xfail=0 m4_xpass=0 m4_xfail_wrong=0 m4_xfail_crash=0 m4_xfail_hang=0 m4_xfail_unproven=0 m4_xfail_skip=0 all_pass=246 all_n=246 rt_md5=cae6edde6a7c arena_kb=128 arena_mb=0
